Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","01929.07","Abaca, manila hemp, raw","2021","2021","","","",""
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","01929.07","Abaca, manila hemp, raw","2022","2022","","","",""
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","01929.07","Abaca, manila hemp, raw","2023","2023","","","",""
"QI","Production Indices","566","Nigeria","434","Gross per capita Production Index Number (2014-2016 = 100)","01929.07","Abaca, manila hemp, raw","2021","2021","","","",""
"QI","Production Indices","566","Nigeria","434","Gross per capita Production Index Number (2014-2016 = 100)","01929.07","Abaca, manila hemp, raw","2022","2022","","","",""
"QI","Production Indices","566","Nigeria","434","Gross per capita Production Index Number (2014-2016 = 100)","01929.07","Abaca, manila hemp, raw","2023","2023","","","",""
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","01929.06","Agave fibres, raw, n.e.c.","2021","2021","","","",""
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","01929.06","Agave fibres, raw, n.e.c.","2022","2022","","","",""
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","01929.06","Agave fibres, raw, n.e.c.","2023","2023","","","",""
"QI","Production Indices","566","Nigeria","434","Gross per capita Production Index Number (2014-2016 = 100)","01929.06","Agave fibres, raw, n.e.c.","2021","2021","","","",""
"QI","Production Indices","566","Nigeria","434","Gross per capita Production Index Number (2014-2016 = 100)","01929.06","Agave fibres, raw, n.e.c.","2022","2022","","","",""
"QI","Production Indices","566","Nigeria","434","Gross per capita Production Index Number (2014-2016 = 100)","01929.06","Agave fibres, raw, n.e.c.","2023","2023","","","",""
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2021","2021","","","",""
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2022","2022","","","",""
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2023","2023","","","",""
"QI","Production Indices","566","Nigeria","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2021","2021","","","",""
"QI","Production Indices","566","Nigeria","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2022","2022","","","",""
