Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GPP","Emissions from pre and post agricultural production","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2019","2019","kt","379.504985","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2020","2020","kt","417.560076","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2021","2021","kt","436.605943","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2022","2022","kt","436.605943","I","Imputed value"
"GPP","Emissions from pre and post agricultural production","566","Nigeria","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2019","2019","","","",""
"GPP","Emissions from pre and post agricultural production","566","Nigeria","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2020","2020","","","",""
"GPP","Emissions from pre and post agricultural production","566","Nigeria","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2021","2021","","","",""
"GPP","Emissions from pre and post agricultural production","566","Nigeria","7230","Emissions (N2O)","6504","Fertilizers Manufacturing","2022","2022","","","",""
"GPP","Emissions from pre and post agricultural production","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2019","2019","kt","1251.170607","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2020","2020","kt","742.987999","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2021","2021","kt","1370.661668","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","566","Nigeria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2022","2022","kt","1370.661668","I","Imputed value"
"GPP","Emissions from pre and post agricultural production","566","Nigeria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2019","2019","kt","0.035104","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","566","Nigeria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2020","2020","kt","0.027017","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","566","Nigeria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2021","2021","kt","0.038456","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","566","Nigeria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2022","2022","kt","0.038456","I","Imputed value"
